happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption
10,2016,Sweden,Western Europe,7.291,1.45181,0.83121,1.08764,0.58218,0.38254,0.40867
11,2016,Israel,Middle East and Northern Africa,7.267,1.33766,0.84917,0.99537,0.36432,0.32288,0.08728
12,2016,Austria,Western Europe,7.119,1.45038,0.80565,1.08383,0.54355,0.32865,0.21348
13,2016,United States,North America,7.104,1.50796,0.779,1.04782,0.48163,0.41077,0.14868
14,2016,Costa Rica,Latin America and Caribbean,7.087,1.06879,0.76146,1.02152,0.55225,0.22553,0.10547
15,2016,Puerto Rico,Latin America and Caribbean,7.039,1.35943,0.77758,1.08113,0.46823,0.22202,0.12275
16,2016,Germany,Western Europe,6.994,1.44787,0.81487,1.09774,0.53466,0.30452,0.28551
17,2016,Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,1.03938,0.40425,0.15776,0.14166
18,2016,Belgium,Western Europe,6.929,1.42539,0.81959,1.05249,0.51354,0.2424,0.26248
19,2016,Ireland,Western Europe,6.907,1.48341,0.81455,1.16157,0.54008,0.44963,0.29754
20,2016,Luxembourg,Western Europe,6.871,1.69752,0.84542,1.03999,0.5487,0.27571,0.35329
21,2016,Mexico,Latin America and Caribbean,6.778,1.11508,0.71143,0.7146,0.37709,0.11735,0.18355
22,2016,Singapore,Southeastern Asia,6.739,1.64555,0.94719,0.86758,0.4877,0.32706,0.46987
23,2016,United Kingdom,Western Europe,6.725,1.40283,0.80991,1.08672,0.50036,0.50156,0.27399
24,2016,Chile,Latin America and Caribbean,6.705,1.2167,0.81883,0.90587,0.37789,0.31595,0.11451
25,2016,Panama,Latin America and Caribbean,6.701,1.18306,0.70835,0.98912,0.48927,0.2418,0.08423
26,2016,Argentina,Latin America and Caribbean,6.65,1.15137,0.69711,1.06612,0.42284,0.10989,0.07296
27,2016,Czechia,Central and Eastern Europe,6.596,1.30915,0.76376,1.00793,0.41418,0.09929,0.03986
28,2016,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.72993,0.87114,0.56215,0.26591,0.35561
29,2016,Uruguay,Latin America and Caribbean,6.545,1.18157,0.72183,1.03143,0.54388,0.18056,0.21394
30,2016,Malta,Western Europe,6.488,1.30782,0.80315,1.09879,0.54994,0.56237,0.17554
31,2016,Colombia,Latin America and Caribbean,6.481,1.03032,0.59659,1.02169,0.44735,0.15626,0.05399
32,2016,France,Western Europe,6.478,1.39488,0.83795,1.00508,0.46562,0.1216,0.17808
33,2016,Thailand,Southeastern Asia,6.474,1.0893,0.64915,1.04477,0.49553,0.58696,0.02833
34,2016,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.59267,0.84829,0.37904,0.15457,0.30008
34,2016,"Taiwan, Province of China",Eastern Asia,6.379,1.39729,0.79565,0.92624,0.32377,0.25495,0.0663
36,2016,Qatar,Middle East and Northern Africa,6.375,1.82427,0.71723,0.87964,0.56679,0.32388,0.48049
37,2016,Spain,Western Europe,6.361,1.34253,0.87896,1.12945,0.37545,0.17665,0.06137
38,2016,Algeria,Middle East and Northern Africa,6.355,1.05266,0.61804,0.83309,0.21006,0.07044,0.16157
39,2016,Guatemala,Latin America and Caribbean,6.324,0.83454,0.54039,0.87119,0.50379,0.28808,0.08701
40,2016,Suriname,Latin America and Caribbean,6.269,1.09686,0.50933,0.77866,0.52234,0.16665,0.12692
41,2016,Kuwait,Middle East and Northern Africa,6.239,1.61714,0.63569,0.87758,0.43166,0.15965,0.23669
42,2016,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.65696,0.94397,0.47375,0.17147,0.25772
43,2016,Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.52608,0.98569,0.48453,0.31935,0.01241
44,2016,"Venezuela, Bolivarian Republic of",Latin America and Caribbean,6.084,1.13367,0.61904,1.03302,0.19847,0.0425,0.08304
45,2016,Slovakia,Central and Eastern Europe,6.078,1.27973,0.70367,1.08268,0.23391,0.13837,0.02947
46,2016,El Salvador,Latin America and Caribbean,6.068,0.8737,0.596,0.80975,0.37269,0.08877,0.10613
47,2016,Malaysia,Southeastern Asia,6.005,1.25142,0.62366,0.88025,0.39031,0.41474,0.09081
48,2016,Nicaragua,Latin America and Caribbean,5.992,0.69384,0.65213,0.89521,0.46582,0.29773,0.16292
49,2016,Uzbekistan,Central and Eastern Europe,5.987,0.73591,0.50163,1.1681,0.60848,0.34326,0.28333
50,2016,Italy,Western Europe,5.977,1.35495,0.85102,1.04167,0.18827,0.16684,0.02556
51,2016,Ecuador,Latin America and Caribbean,5.976,0.97306,0.68613,0.85974,0.4027,0.10074,0.18037
52,2016,Belize,Latin America and Caribbean,5.956,0.87616,0.45569,0.68655,0.51231,0.23684,0.10771
53,2016,Japan,Eastern Asia,5.921,1.38007,0.91491,1.06054,0.46761,0.10224,0.18985
54,2016,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.57386,0.95544,0.4052,0.15011,0.11132
55,2016,"Moldova, Republic of",Central and Eastern Europe,5.897,0.69177,0.52309,0.83132,0.25202,0.19997,0.01903
56,2016,Russia,Central and Eastern Europe,5.856,1.23228,0.58991,1.05261,0.32682,0.02736,0.03586
57,2016,Poland,Central and Eastern Europe,5.835,1.24585,0.69058,1.04685,0.4519,0.14443,0.055
57,2016,"Korea, Republic of",Eastern Asia,5.835,1.35948,0.88645,0.72194,0.25168,0.18824,0.07716
59,2016,"Bolivia, Plurinational State of",Latin America and Caribbean,5.822,0.79422,0.4697,0.83779,0.50961,0.21698,0.07746
60,2016,Lithuania,Central and Eastern Europe,5.813,1.2692,0.64674,1.06411,0.18929,0.02025,0.0182
61,2016,Belarus,Central and Eastern Europe,5.802,1.13062,0.63104,1.04993,0.29091,0.13942,0.17457
62,2016,North Cyprus,Western Europe,5.771,1.31141,0.84142,0.81826,0.43596,0.26322,0.16578
63,2016,Slovenia,Central and Eastern Europe,5.768,1.29947,0.79151,1.05613,0.53164,0.25738,0.03635
64,2016,Peru,Latin America and Caribbean,5.743,0.99602,0.62994,0.81255,0.37502,0.14527,0.05292
65,2016,Turkmenistan,Central and Eastern Europe,5.658,1.08017,0.44006,1.03817,0.37408,0.22567,0.28467
66,2016,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.66189,0.75695,0.46145,0.36951,0.05203
67,2016,Libya,Middle East and Northern Africa,5.615,1.06688,0.52304,0.95076,0.40672,0.17087,0.10339
68,2016,Latvia,Central and Eastern Europe,5.56,1.21788,0.63952,0.95025,0.27996,0.17445,0.0889
69,2016,Cyprus,Western Europe,5.546,1.31857,0.8488,0.70697,0.29507,0.27906,0.05228
70,2016,Paraguay,Latin America and Caribbean,5.538,0.89373,0.58295,1.11111,0.46235,0.25296,0.07396
71,2016,Romania,Central and Eastern Europe,5.528,1.1697,0.67602,0.72803,0.36712,0.12889,0.00679
