year_country_id,country_id,year_id,total_pop,pop_density,age_pop
332,19,3,11376580.5,375.73751568795825,40.5860201495273
333,17,3,596495.5,230.30714285714285,38.4174834867384
334,21,3,66354471.00000001,273.3550203715071,38.866100388869
335,27,3,18558867.5,24.648076110891235,33.8620898173456
336,20,3,9234327.0,130.01699425546295,30.8336889637063
337,16,3,204703445.0,24.49150708171914,31.3669873746466
338,31,3,10541341.5,136.5405683716954,41.1807929708445
339,30,3,44288894.0,15.863863944895964,30.2575754366885
340,14,3,123400057.5,62.98337806137865,26.9180826692538
341,24,3,5604078.5,8205.092972181552,33.7745117296323
342,37,3,467902.5,1485.404761904762,39.4704393575051
343,32,3,3388437.5,19.564178733919952,34.3308032229016
344,43,3,16567357.0,154.60392870474058,20.589590063402
345,25,3,4098707.000000001,55.25576661229223,27.7946165950125
346,29,3,65284776.0,118.40251006565344,40.7099523443826
347,34,3,71160187.0,139.2867094677915,36.723153221203
348,38,3,23632948.0,667.4088675515391,40.0161945895818
349,36,3,46868595.5,93.29794427833758,42.4388561412516
350,28,3,2706709.5,233.6189798032108,30.4729153931426
351,33,3,48131078.0,42.83317151484355,29.371497475592
352,35,3,30782402.0,14.31946094553168,28.1095091102864
353,41,3,1445260.5,281.72719298245613,33.9303242081174
354,39,3,4154684.500000001,233.17344819845104,34.5691679667121
355,45,3,5435700.5,110.85800379336364,39.005332301783
356,49,3,1481995.0,1892.7139208173692,30.3483936223534
357,61,3,32355644.5,98.48012326890884,27.4661120172302
358,57,3,6316231.5,52.48655060661459,23.315282723371
359,48,3,16759519.499999998,67.4807517313577,26.09278760101
360,42,3,6213533.5,299.88096042471045,24.5159614466801
361,60,3,38254958.5,124.93699582617556,39.0338255818543
362,44,3,31819177.5,74.79825458392102,25.8209824154127
363,50,3,60390318.0,204.0385775825661,45.1765132040652
364,64,3,146186799.0,8.927074481912706,37.9538583157729
365,160,3,373201.5,16.361310828583953,23.5338060795464
366,46,3,127064690.0,337.1990372163132,46.5353961418369
367,56,3,2829312.5,45.181528560706475,42.6762104390763
368,68,3,41689299.0,17.5037153509619,27.0239079376433
369,89,3,1942594.0,31.21786362832854,42.251382620595
370,47,3,51486270.5,520.3629412894293,41.0507706822567
371,52,3,3193497.5,97.11992883644548,35.7669151564298
372,86,3,19689401.5,85.57781559136981,40.9587737174631
373,51,3,11344587.5,10.472278147174782,23.2732375047417
374,70,3,6507061.0,13.84687293852276,24.6783134542687
375,54,3,18651931.0,6.908890247064488,28.6753819779109
376,66,3,1254275.5,135.74410173160177,35.320211094484
377,55,3,2062410.0,102.41384447313536,42.5683797043515
378,58,3,31324636.5,24.47072813857819,27.6118695951407
379,71,3,1290655.0,635.7906403940887,34.8504851028235
380,67,3,1254275.5,135.74410173160177,35.320211094484
381,73,3,1317424.5,30.309310725624627,40.8797465888966
382,59,3,9495789.5,46.79803607510719,38.8151643976998
383,63,3,6738769.5,4.020270576626389,25.7907477361893
384,76,3,83083662.0,107.95638016434424,30.1522920466675
385,53,3,6338660.5,15.67179321717932,24.5660724060098
386,72,3,7444891.5,6774.241583257507,42.6619741855436
387,90,3,108119693.5,360.39897833333333,22.9542209028972
388,87,3,7073506.5,92.17976569015846,42.7085269138229
389,82,3,10234226.0,115.25808050093477,22.1822497498373
390,104,3,9785604.5,108.0923947862587,41.4225838378764
391,65,3,2815763.5,259.9966297322253,28.7585405124336
392,62,3,4079200.0,72.97838843566623,43.1692804194537
393,69,3,1768119.0,162.13837689133425,28.2174397746987
394,84,3,1412354727.0,147.1202840625,36.2787778137329
395,81,3,223273967.5,289.63517992424244,19.3998460661257
396,74,3,267346658.0,139.90387826666688,28.3590389500652
397,23,3,30565323.5,33.35205440588361,27.0062043066811
398,83,3,620113.5,44.89672024326673,37.5600906577624
399,92,3,35446392.0,79.42279184405109,27.1260284800506
